"","Year","Week_no","State","District","Location","Total","Outbreak_Duration"
"1",2015,1,"Selangor","Petaling","Du Ss 22 ( 2)",111,204
"2",2015,1,"Selangor","Petaling","Seksyen 7 (Flat A : 81Ok 1 -
12, 81Ok 38 - 43)",83,158
"3",2015,1,"Selangor","Petaling","Seksyen 7 (Pusat Komersial A : Jln Aa 7/Aa-Ac 7/Ac, T 7/T-Z7/Z)",199,144
"4",2015,1,"Selangor","Petaling","Seksyen 7 ( Flat B : Blok 13-37)",34,131
"5",2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 6",40,128
"6",2015,1,"Selangor","Petaling","Jalan 3/A-R Seksyen 3
8Andar Sri Putra",65,122
"7",2015,1,"Selangor","Hulu Langat","Bl Pju 10 Apt Permai",36,119
"8",2015,1,"Selangor","Petaling","Usj 2/5",32,119
"9",2015,1,"Selangor","Petaling","81 Pju 9 Sd 13 Apt Sri
Meranti 1 : 81Ok A - G",33,NA
"10",2015,1,"Selangor","Petaling","Appt Dahlia Court Pandan Lndah",28,114
"11",2015,1,"Selangor","Hulu Langat","81 Pju 10 Saujana
Damansara (A) : Jln 10/13,
10/14",26,109
"12",2015,1,"Selangor","Petaling","8Andar Kinrara 8K 6F ( P'Puri Enggang)",22,109
"13",2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 5 Sepah
Puteri (Jin 5/1-5/19)",25,109
"14",2015,1,"Selangor","Petaling","Taman Puchong Perdana
(Jin Mawar)",NA,104
"15",2015,1,"Selangor","Petaling","Kg Simpang 3",43,103
"16",2015,1,"Selangor","Gombak","Batu 13 Kg Sri Aman(Lorang  Bestari)",40,100
"17",2015,1,"Selangor","Petaling","Pusat Bandar Puchong  (Jinwawasan  2)",42,98
"18",2015,1,"Selangor","Petaling","Sri Pjs 8 Mentari Court",47,97
"19",2015,1,"Selangor","Petaling","Seksyen  U10 ( Alam
8Udiman : Jln U10/68 - U10/77B)",42,92
"20",2015,1,"Selangor","Petaling","Seksyen  5 Bandar  Sri Putra",27,88
"21",2015,1,"Selangor","Hulu Langat","Bl Pju 9 Sd 10",16,NA
"22",2015,1,"Selangor","Petaling","Bandar Kinrara 4 (Jl Bk 4/1 Sebahagian 4/2-4/4)",30,NA
"23",2015,1,"Selangor","Petaling","Bl Pju 10 Apt Harmoni 1 ( A,B,C,L,M,N,O,P,Q )",22,NA
"24",2015,1,"Selangor","Petaling","Bandar Kinrara 2",18,86
"25",2015,1,"Selangor","Petaling","Seksyen U16 (Pangsapuri Kiambang : Blok 21-27)",24,83
"26",2015,1,"Selangor","Petaling","Seksyen U5 (Pangsapuri Sri Bintang)",15,82
"27",2015,1,"Selangor","Petaling","Bl Pju 8 Armanee Terrace Kondo",18,76
"28",2015,1,"Selangor","Petaling","Pjs 9/1 (Lagoon Perdana & Rumah Kedai)",38,76
"29",2015,1,"Selangor","Petaling","Seksyen U16 (Pangsapuri Melati : Blok 11-20)",19,69
"30",2015,1,"Selangor","Hulu Langat","Appt Sri Tanjung Seksyen 7 Bandar Baru Bangi",28,68
"31",2015,1,"Selangor","Petaling","Seksyen 7 (Flat C : Blok 44-51)",17,NA
"32",2015,1,"Selangor","Petaling","Seksyen U10 (Puncak Perdana : Uitm)",19,67
"33",2015,1,"Selangor","Petaling","Seksyen U2 Teres C",20,67
"34",2015,1,"Selangor","Petaling","Taman Lestari Putra 6",NA,67
"35",2015,1,"Selangor","Petaling","Taman Puncak Jalil 2 (Jln Puj 2/1 - 2/18)",18,67
"36",2015,1,"Selangor","Hulu Langat","Seksyen 5 Bandar Rinching",43,66
"37",2015,1,"Selangor","Petaling","Seksyen 6 ( Teres A : Jln 6/1A-6/1J)",18,66
"38",2015,1,"Selangor","Petaling","Sri Pjs 6 Flat Desa Mentari 1 : Blok 1, 2, 3",NA,66
"39",2015,1,"Perak","Kinta","Kg Das Tambahan 2",46,65
"40",2015,1,"Selangor","Petaling","Seksyen U5 (Subang Murni Teres B : Jln U5/151 - 162)",12,65
"41",2015,1,"Selangor","Petaling","Sri Pjs 5 Flat Desa Ria",13,65
"42",2015,1,"Selangor","Petaling","Seksyen 3 Shah Alam",9,64
"43",2015,1,"Selangor","Petaling","Seksyen U10 ( Puncak Perdana Teres A : Jln U10/15 - U10/29 )",43,63
"44",2015,1,"Selangor","Petaling","Du Ss 21 (3)",24,62
"45",2015,1,"Selangor","Gombak","Appt Palma Bch",20,62
"46",2015,1,"Selangor","Hulu Langat","Jalan 3/6 Seksyen 3 Bandar Baru Bangi",NA,NA
"47",2015,1,"Selangor","Hulu Langat","Seksyen 3 Bandar Teknologi",13,62
"48",2015,1,"Selangor","Petaling","Bl Pju 9 Sd 8",31,62
"49",2015,1,"Selangor","Petaling","Kd Pju 5 Seksyen 7 Gugusan Kemboja",9,62
"50",2015,1,"Selangor","Petaling","Kt Pju 1A Pprt A : Blok A,B,C",57,62
"51",2015,1,"Selangor","Petaling","Ss 18/5, 6",NA,62
"52",2015,1,"Selangor","Petaling","Seksyen U16 (Denai Alam Teres L : Jln U16/81-U16/88)",NA,61
"53",2015,1,"Selangor","Petaling","Bl Pju 8 Apt Flora Damansara 1 ( Blok A, B )",NA,61
"54",2015,1,"Selangor","Petaling","Taman Lestari Putra 3",NA,61
"55",2015,1,"Selangor","Petaling","Taman Puncak Jalil 4A (Jln Puj 4/1-Puj 4/9)",NA,60
"56",2015,1,"Selangor","Petaling","Usj 8/2",NA,60
"57",2015,1,"Selangor","Petaling","Taman Pinggiran Putra 16 ( Putra Indah)",NA,60
"58",2015,1,"Perak","Kinta","Tmn Klebang Jaya 2",43,59
"59",2015,1,"Selangor","Petaling","Seksyen 7 (Teres L : Jln 7/101-7/103",13,59
"60",2015,1,"Selangor","Petaling","Sri Pjs 10 (Teeres B : Jln Pjs 10/2, 10/4, 10/7A-B, 10/6)",10,59
